Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Nov 1 2023,7:00p,Portland Trail Blazers,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Nov 1 2023,7:00p,Milwaukee Bucks,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Nov 1 2023,7:30p,Washington Wizards,,Atlanta Hawks,,,,,State Farm Arena,
Wed Nov 1 2023,7:30p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
Wed Nov 1 2023,7:30p,Brooklyn Nets,,Miami Heat,,,,,Kaseya Center,
Wed Nov 1 2023,7:30p,Cleveland Cavaliers,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Nov 1 2023,7:30p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Nov 1 2023,8:00p,Charlotte Hornets,,Houston Rockets,,,,,Toyota Center,
Wed Nov 1 2023,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,Target Center,
Wed Nov 1 2023,8:30p,Chicago Bulls,,Dallas Mavericks,,,,,American Airlines Center,
Wed Nov 1 2023,9:00p,Memphis Grizzlies,,Utah Jazz,,,,,Delta Center,
Wed Nov 1 2023,10:00p,Sacramento Kings,,Golden State Warriors,,,,,Chase Center,
Wed Nov 1 2023,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Thu Nov 2 2023,7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,Wells Fargo Center,
Thu Nov 2 2023,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,Smoothie King Center,
Thu Nov 2 2023,9:00p,Orlando Magic,,Utah Jazz,,,,,Delta Center,
Thu Nov 2 2023,10:00p,San Antonio Spurs,,Phoenix Suns,,,,,Footprint Center,
Fri Nov 3 2023,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,In-Season Tournament
Fri Nov 3 2023,7:30p,New York Knicks,,Milwaukee Bucks,,,,,Fiserv Forum,In-Season Tournament
Fri Nov 3 2023,8:00p,Brooklyn Nets,,Chicago Bulls,,,,,United Center,In-Season Tournament
Fri Nov 3 2023,8:00p,Washington Wizards,,Miami Heat,,,,,Kaseya Center,In-Season Tournament
Fri Nov 3 2023,8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,Paycom Center,In-Season Tournament
Fri Nov 3 2023,10:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,In-Season Tournament
Fri Nov 3 2023,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,Moda Center,In-Season Tournament
Sat Nov 4 2023,1:00p,Phoenix Suns,,Philadelphia 76ers,,,,,Wells Fargo Center,
Sat Nov 4 2023,7:00p,Charlotte Hornets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Nov 4 2023,7:00p,Atlanta Hawks,,New Orleans Pelicans,,,,,Smoothie King Center,
Sat Nov 4 2023,7:00p,Los Angeles Lakers,,Orlando Magic,,,,,Amway Center,
Sat Nov 4 2023,8:00p,Boston Celtics,,Brooklyn Nets,,,,,Barclays Center,
Sat Nov 4 2023,8:00p,Sacramento Kings,,Houston Rockets,,,,,Toyota Center,
Sat Nov 4 2023,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,
Sat Nov 4 2023,9:00p,Chicago Bulls,,Denver Nuggets,,,,,Ball Arena,
Sun Nov 5 2023,3:00p,Phoenix Suns,,Detroit Pistons,,,,,Little Caesars Arena,
Sun Nov 5 2023,3:30p,Toronto Raptors,,San Antonio Spurs,,,,,AT&T Center,
Sun Nov 5 2023,6:00p,Golden State Warriors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Nov 5 2023,7:30p,Charlotte Hornets,,Dallas Mavericks,,,,,American Airlines Center,
Sun Nov 5 2023,9:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,Moda Center,
Mon Nov 6 2023,7:00p,Golden State Warriors,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Nov 6 2023,7:00p,San Antonio Spurs,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Nov 6 2023,7:00p,Dallas Mavericks,,Orlando Magic,,,,,Amway Center,
Mon Nov 6 2023,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Nov 6 2023,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
Mon Nov 6 2023,7:30p,Los Angeles Lakers,,Miami Heat,,,,,Kaseya Center,
Mon Nov 6 2023,7:30p,Los Angeles Clippers,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Nov 6 2023,8:00p,Utah Jazz,,Chicago Bulls,,,,,United Center,
Mon Nov 6 2023,8:00p,Sacramento Kings,,Houston Rockets,,,,,Toyota Center,
Mon Nov 6 2023,8:00p,Boston Celtics,,Minnesota Timberwolves,,,,,Target Center,
Mon Nov 6 2023,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,Paycom Center,
Mon Nov 6 2023,9:00p,New Orleans Pelicans,,Denver Nuggets,,,,,Ball Arena,
Wed Nov 8 2023,7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
Wed Nov 8 2023,7:00p,Utah Jazz,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Nov 8 2023,7:00p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,
Wed Nov 8 2023,7:30p,Los Angeles Clippers,,Brooklyn Nets,,,,,Barclays Center,
Wed Nov 8 2023,7:30p,San Antonio Spurs,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Nov 8 2023,8:00p,Phoenix Suns,,Chicago Bulls,,,,,United Center,
Wed Nov 8 2023,8:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
Wed Nov 8 2023,8:00p,Miami Heat,,Memphis Grizzlies,,,,,FedEx Forum,
Wed Nov 8 2023,8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Nov 8 2023,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,Target Center,
Wed Nov 8 2023,8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Nov 8 2023,8:30p,Toronto Raptors,,Dallas Mavericks,,,,,American Airlines Center,
Wed Nov 8 2023,10:00p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
Wed Nov 8 2023,10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,Golden 1 Center,
Thu Nov 9 2023,7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Thu Nov 9 2023,9:30p,Atlanta Hawks,,Orlando Magic,,,,,Mexico City Arena,
Fri Nov 10 2023,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,Little Caesars Arena,In-Season Tournament
Fri Nov 10 2023,7:00p,Charlotte Hornets,,Washington Wizards,,,,,Capital One Arena,In-Season Tournament
Fri Nov 10 2023,7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,In-Season Tournament
Fri Nov 10 2023,8:00p,New Orleans Pelicans,,Houston Rockets,,,,,Toyota Center,In-Season Tournament
Fri Nov 10 2023,8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,In-Season Tournament
Fri Nov 10 2023,8:00p,Minnesota Timberwolves,,San Antonio Spurs,,,,,AT&T Center,In-Season Tournament
Fri Nov 10 2023,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,American Airlines Center,In-Season Tournament
Fri Nov 10 2023,10:00p,Los Angeles Lakers,,Phoenix Suns,,,,,Footprint Center,In-Season Tournament
Fri Nov 10 2023,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,Golden 1 Center,In-Season Tournament
Sat Nov 11 2023,6:00p,Milwaukee Bucks,,Orlando Magic,,,,,Amway Center,
Sat Nov 11 2023,7:00p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
Sat Nov 11 2023,7:30p,Miami Heat,,Atlanta Hawks,,,,,State Farm Arena,
Sat Nov 11 2023,8:30p,Cleveland Cavaliers,,Golden State Warriors,,,,,Chase Center,
Sun Nov 12 2023,12:00p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Nov 12 2023,3:00p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,
Sun Nov 12 2023,3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Nov 12 2023,6:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Sun Nov 12 2023,7:00p,Detroit Pistons,,Chicago Bulls,,,,,United Center,
Sun Nov 12 2023,7:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,
Sun Nov 12 2023,7:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Nov 12 2023,7:00p,Miami Heat,,San Antonio Spurs,,,,,AT&T Center,
Sun Nov 12 2023,8:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,Footprint Center,
Sun Nov 12 2023,8:30p,Minnesota Timberwolves,,Golden State Warriors,,,,,Chase Center,
Sun Nov 12 2023,10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Nov 13 2023,7:30p,New York Knicks,,Boston Celtics,,,,,TD Garden,
Mon Nov 13 2023,7:30p,Washington Wizards,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Nov 13 2023,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,
Mon Nov 13 2023,10:00p,Cleveland Cavaliers,,Sacramento Kings,,,,,Golden 1 Center,
Tue Nov 14 2023,7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,In-Season Tournament
Tue Nov 14 2023,7:00p,Atlanta Hawks,,Detroit Pistons,,,,,Little Caesars Arena,In-Season Tournament
Tue Nov 14 2023,7:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,In-Season Tournament
Tue Nov 14 2023,7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,In-Season Tournament
Tue Nov 14 2023,7:30p,San Antonio Spurs,,Oklahoma City Thunder,,,,,Paycom Center,In-Season Tournament
Tue Nov 14 2023,8:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,In-Season Tournament
Tue Nov 14 2023,9:00p,Portland Trail Blazers,,Utah Jazz,,,,,Delta Center,In-Season Tournament
Tue Nov 14 2023,10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,Ball Arena,In-Season Tournament
Tue Nov 14 2023,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,Chase Center,In-Season Tournament
Tue Nov 14 2023,10:30p,Memphis Grizzlies,,Los Angeles Lakers,,,,,Crypto.com Arena,In-Season Tournament
Wed Nov 15 2023,7:00p,Dallas Mavericks,,Washington Wizards,,,,,Capital One Arena,
Wed Nov 15 2023,7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,
Wed Nov 15 2023,7:30p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,
Wed Nov 15 2023,7:30p,Milwaukee Bucks,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Nov 15 2023,8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,
Wed Nov 15 2023,9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,Footprint Center,
Wed Nov 15 2023,10:00p,Sacramento Kings,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Nov 15 2023,10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,,,Moda Center,
Thu Nov 16 2023,7:30p,Brooklyn Nets,,Miami Heat,,,,,Kaseya Center,
Thu Nov 16 2023,10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
Fri Nov 17 2023,7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,Spectrum Center,In-Season Tournament
Fri Nov 17 2023,7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,In-Season Tournament
Fri Nov 17 2023,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,State Farm Arena,In-Season Tournament
Fri Nov 17 2023,7:30p,Detroit Pistons,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,In-Season Tournament
Fri Nov 17 2023,7:30p,Sacramento Kings,,San Antonio Spurs,,,,,AT&T Center,In-Season Tournament
Fri Nov 17 2023,7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,In-Season Tournament
Fri Nov 17 2023,8:00p,Orlando Magic,,Chicago Bulls,,,,,United Center,In-Season Tournament
Fri Nov 17 2023,8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,Smoothie King Center,In-Season Tournament
Fri Nov 17 2023,10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,Moda Center,In-Season Tournament
Fri Nov 17 2023,10:00p,Phoenix Suns,,Utah Jazz,,,,,Delta Center,In-Season Tournament
Fri Nov 17 2023,10:30p,Houston Rockets,,Los Angeles Clippers,,,,,Crypto.com Arena,In-Season Tournament
Sat Nov 18 2023,6:00p,New York Knicks,,Charlotte Hornets,,,,,Spectrum Center,
Sat Nov 18 2023,7:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,
Sat Nov 18 2023,8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,
Sat Nov 18 2023,8:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Nov 18 2023,8:00p,Memphis Grizzlies,,San Antonio Spurs,,,,,AT&T Center,
Sat Nov 18 2023,8:30p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
Sun Nov 19 2023,3:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,Barclays Center,
Sun Nov 19 2023,4:00p,Detroit Pistons,,Toronto Raptors,,,,,Scotiabank Arena,
Sun Nov 19 2023,5:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sun Nov 19 2023,6:00p,Denver Nuggets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Nov 19 2023,7:30p,Sacramento Kings,,Dallas Mavericks,,,,,American Airlines Center,
Sun Nov 19 2023,8:00p,Boston Celtics,,Memphis Grizzlies,,,,,FedEx Forum,
Sun Nov 19 2023,8:00p,Phoenix Suns,,Utah Jazz,,,,,Delta Center,
Sun Nov 19 2023,9:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,Moda Center,
Sun Nov 19 2023,9:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Nov 20 2023,7:00p,Boston Celtics,,Charlotte Hornets,,,,,Spectrum Center,
Mon Nov 20 2023,7:00p,Denver Nuggets,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Nov 20 2023,7:00p,Milwaukee Bucks,,Washington Wizards,,,,,Capital One Arena,
Mon Nov 20 2023,8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,
Mon Nov 20 2023,8:00p,New York Knicks,,Minnesota Timberwolves,,,,,Target Center,
Mon Nov 20 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
Mon Nov 20 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
Mon Nov 20 2023,10:00p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
Tue Nov 21 2023,7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,In-Season Tournament
Tue Nov 21 2023,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,In-Season Tournament
Tue Nov 21 2023,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,In-Season Tournament
Tue Nov 21 2023,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,In-Season Tournament
Tue Nov 21 2023,10:00p,Utah Jazz,,Los Angeles Lakers,,,,,Crypto.com Arena,In-Season Tournament
Wed Nov 22 2023,7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
Wed Nov 22 2023,7:00p,Denver Nuggets,,Orlando Magic,,,,,Amway Center,
Wed Nov 22 2023,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
Wed Nov 22 2023,7:30p,Milwaukee Bucks,,Boston Celtics,,,,,TD Garden,
Wed Nov 22 2023,7:30p,Miami Heat,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Nov 22 2023,7:30p,Toronto Raptors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Nov 22 2023,8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,
Wed Nov 22 2023,8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,Target Center,
Wed Nov 22 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Nov 22 2023,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Nov 22 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
Wed Nov 22 2023,10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,
Wed Nov 22 2023,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
Wed Nov 22 2023,10:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Nov 24 2023,2:30p,Boston Celtics,,Orlando Magic,,,,,Amway Center,In-Season Tournament
Fri Nov 24 2023,5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,In-Season Tournament
Fri Nov 24 2023,7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),In-Season Tournament
Fri Nov 24 2023,7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,In-Season Tournament
Fri Nov 24 2023,8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,In-Season Tournament
Fri Nov 24 2023,8:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,In-Season Tournament
Fri Nov 24 2023,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,Fiserv Forum,In-Season Tournament
Fri Nov 24 2023,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,In-Season Tournament
Fri Nov 24 2023,10:00p,San Antonio Spurs,,Golden State Warriors,,,,,Chase Center,In-Season Tournament
Fri Nov 24 2023,10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,In-Season Tournament
Sat Nov 25 2023,5:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Nov 25 2023,6:00p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
Sat Nov 25 2023,7:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
Sat Nov 25 2023,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sat Nov 25 2023,9:30p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
Sat Nov 25 2023,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Nov 26 2023,3:30p,Portland Trail Blazers,,Milwaukee Bucks,,,,,Fiserv Forum,
Sun Nov 26 2023,6:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
Sun Nov 26 2023,6:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
Sun Nov 26 2023,6:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Nov 26 2023,6:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,
Sun Nov 26 2023,7:30p,Chicago Bulls,,Brooklyn Nets,,,,,Barclays Center,
Sun Nov 26 2023,7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Nov 26 2023,8:00p,San Antonio Spurs,,Denver Nuggets,,,,,Ball Arena,
Mon Nov 27 2023,7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Nov 27 2023,7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Nov 27 2023,7:00p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Nov 27 2023,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
Mon Nov 27 2023,10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Tue Nov 28 2023,7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,In-Season Tournament
Tue Nov 28 2023,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,In-Season Tournament
Tue Nov 28 2023,7:30p,Milwaukee Bucks,,Miami Heat,,,,,Kaseya Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),In-Season Tournament
Tue Nov 28 2023,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,In-Season Tournament
Tue Nov 28 2023,8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,In-Season Tournament
Tue Nov 28 2023,10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,In-Season Tournament
Wed Nov 29 2023,7:00p,Los Angeles Lakers,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Nov 29 2023,7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
Wed Nov 29 2023,7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Nov 29 2023,8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,
Wed Nov 29 2023,8:00p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Nov 29 2023,9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
Wed Nov 29 2023,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,
Thu Nov 30 2023,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Thu Nov 30 2023,7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,
Thu Nov 30 2023,7:30p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,
Thu Nov 30 2023,7:30p,Detroit Pistons,,New York Knicks,,,,,Madison Square Garden (IV),
Thu Nov 30 2023,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,
Thu Nov 30 2023,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,
Thu Nov 30 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Nov 30 2023,8:00p,Atlanta Hawks,,San Antonio Spurs,,,,,AT&T Center,
Thu Nov 30 2023,10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,
